Date : 2024-05-19 11:14:13
Directory : d:\MakeGames\GameProject\ori
Total : 370 files,  15829 codes, 205 comments, 1005 blanks, all 17039 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\sports_vest.json                          | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\armors\straw_hat.json                            | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\items\bark.json                                        | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\bottle.json                                      | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\cactus_flower.json                               | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\chicken_feather.json                             | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\dog_tail_grass_dough.json                        | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\items\dog_tail_grass_powder.json                       | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\duck_feather.json                                | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\feather_wing.json                                | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\items\flint.json                                       | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\berry.json                                 | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\carrot.json                                | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\chicken_drumstick.json                     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\chicken_egg.json                           | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\condiments\sugar.json                      | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\fried_egg.json          | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\potato_chips.json       | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\deep-frying\roast_scallion.json     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\dog_tail_grass_noodles.json         | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\egg_drop_soup.json                  | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\fried_snow.json                     | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\green_dumpling.json                 | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\pig_soup.json                       | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\poultry_soup.json                   | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\salad.json                          | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\dishes\strange_dish.json                   | JSON     |         12 |          0 |          0 |         12 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\duck_drumstick.json                        | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\duck_egg.json                              | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\juices\watermelon_juice.json               | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\onion.json                                 | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\pig_chop.json                              | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\potato.json                                | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\pumpkin.json                               | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\scallion.json                              | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\tomato.json                                | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\foods\watermelon.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\mana_stone.json                                  | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\items\plant_fiber.json                                 | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\items\raw_dog_tail_grass_noodles.json                  | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\shelled_dog_tail_grass.json                      | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\slime_gel.json                                   | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\items\spell_manuscript.json                            | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\items\stick.json                                       | JSON     |         19 |          0 |          0 |         19 |
| d:\MakeGames\GameProject\ori\mod_source\items\straw_rope.json                                  | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\hoes\flint.json                            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\hoes\iron.json                             | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\knives\flint.json                          | JSON     |         25 |          0 |          0 |         25 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\knives\iron.json                           | JSON     |         25 |          0 |          0 |         25 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\saws\wooden.json                           | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\flint_sword.json                   | JSON     |         25 |          0 |          0 |         25 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\iron_sword.json                    | JSON     |         25 |          0 |          0 |         25 |
| d:\MakeGames\GameProject\ori\mod_source\items\tools\weapons\jungle_sword.json                  | JSON     |         13 |          0 |          0 |         13 |
| d:\MakeGames\GameProject\ori\mod_source\items\washed_shelled_dog_tail_grass.json               | JSON     |          8 |          0 |          0 |          8 |
| d:\MakeGames\GameProject\ori\mod_source\items\water_bottle.json                                | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\wooden_bow.json                                  | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\items\wooden_bowl.json                                 | JSON     |          9 |          0 |          0 |          9 |
| d:\MakeGames\GameProject\ori\mod_source\items\wooden_bowl_with_water.json                      | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\langs\en_us.json                                       | JSON     |      1,309 |          0 |          0 |      1,309 |
| d:\MakeGames\GameProject\ori\mod_source\langs\zh_cn.json                                       | JSON     |      1,401 |          0 |          0 |      1,401 |
| d:\MakeGames\GameProject\ori\mod_source\langs\zh_tw.json                                       | JSON     |      1,309 |          0 |          0 |      1,309 |
| d:\MakeGames\GameProject\ori\mod_source\mod_info.json                                          | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\fried_egg.json             | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\fried_snow.json            | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\potato_chips.json          | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\roast_scallion.json        | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\dog_tail_grass_noodles.json            | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\duck_soup.json                         | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\egg_drop_soup.json                     | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\green_dumpling.json                    | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\pig_soup.json                          | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\potato_cake.json                       | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\poultry_soup.json                      | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\strange_dish.json                      | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\acacia\planks.json                    | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\banyan\planks.json                    | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bark.json                             | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bark_vest.json                        | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\barrel.json                           | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bottle.json                           | JSON     |         14 |          0 |          0 |         14 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\campfire.json                         | JSON     |         20 |          0 |          0 |         20 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\clay_furnace.json                     | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\feather_wing.json                     | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\flint.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\hoe.json                        | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\knife.json                      | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\sword.json                      | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\grass_block.json                      | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\iron\hoe.json                         | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\iron\knife.json                       | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\iron\sword.json                       | JSON     |         24 |          0 |          0 |         24 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\ladder.json                           | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\leaf_skirt.json                       | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\mangrove\planks.json                  | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\maple\planks.json                     | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\oak\planks.json                       | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\plant_fiber.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\plant_fiber_vest.json                 | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\potato_crop.json                      | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\remote_market.json                    | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\salad.json                            | JSON     |         20 |          0 |          0 |         20 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\sea_hibiscus\planks.json              | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\soft_clay_furnace.json                | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\soup_pot.json                         | JSON     |         22 |          0 |          0 |         22 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\stick.json                            | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\straw_rope.json                       | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\sugar.json                            | JSON     |         17 |          0 |          0 |         17 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\tangerine\planks.json                 | JSON     |         15 |          0 |          0 |         15 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\torch.json                            | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\watermelon_juice.json                 | JSON     |         19 |          0 |          0 |         19 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\wooden_bow.json                       | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\wooden_bowl.json                      | JSON     |         16 |          0 |          0 |         16 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\wooden_chest.json                     | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\wooden_saw.json                       | JSON     |         18 |          0 |          0 |         18 |
| d:\MakeGames\GameProject\ori\mod_source\spells\laser.json                                      | JSON     |         10 |          0 |          0 |         10 |
| d:\MakeGames\GameProject\ori\mod_source\spells\spark.json                                      | JSON     |         11 |          0 |          0 |         11 |
| d:\MakeGames\GameProject\ori\mod_source\structures\cave.json                                   | JSON     |        168 |          0 |          0 |        168 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\acacia.json                           | JSON     |         68 |          0 |          0 |         68 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\banyan.json                           | JSON     |         72 |          0 |          0 |         72 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\mangrove.json                         | JSON     |         72 |          0 |          0 |         72 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\maple.json                            | JSON     |         56 |          0 |          0 |         56 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\oak.json                              | JSON     |         64 |          0 |          0 |         64 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\sea_hibiscus.json                     | JSON     |         56 |          0 |          0 |         56 |
| d:\MakeGames\GameProject\ori\mod_source\structures\trees\tangerine.json                        | JSON     |         56 |          0 |          0 |         56 |
| d:\MakeGames\GameProject\ori\mod_source\texture_settings.json                                  | JSON     |      1,594 |          0 |          0 |      1,594 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\AnimatedBlock.cs                                   | C#       |         58 |          1 |         17 |         76 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Barrel.cs                                          | C#       |         16 |          0 |          1 |         17 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\BerryBush.cs                                       | C#       |         16 |          3 |          4 |         23 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Campfire.cs                                        | C#       |         28 |          1 |          8 |         37 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\CookingStorageBlock.cs                             | C#       |         77 |         14 |         31 |        122 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\CropBlock.cs                                       | C#       |        268 |         15 |         56 |        339 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Door.cs                                            | C#       |         62 |          9 |         20 |         91 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\ExtinguishedCampfire.cs                            | C#       |         14 |          1 |          2 |         17 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\FryingPan.cs                                       | C#       |         23 |          0 |          6 |         29 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Furnaces\ClayFurnace.cs                            | C#       |         19 |          0 |          4 |         23 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Furnaces\SoftClayFurnace.cs                        | C#       |         21 |          0 |          5 |         26 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\GrassBlock.cs                                      | C#       |         30 |          1 |         11 |         42 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Interfaces\IGroupBlock.cs                          | C#       |        175 |         19 |         38 |        232 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Ladder.cs                                          | C#       |         49 |          0 |          5 |         54 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\PickedBerryBush.cs                                 | C#       |         28 |          2 |          7 |         37 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Portal.cs                                          | C#       |         28 |          1 |          4 |         33 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\RemoteMarket.cs                                    | C#       |         42 |          0 |          4 |         46 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\SoupPot.cs                                         | C#       |         23 |          0 |          6 |         29 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\StorageBlock.cs                                    | C#       |         65 |          4 |         29 |         98 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Torch.cs                                           | C#       |          8 |          0 |          2 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\TreeLogBlock.cs                                    | C#       |         73 |          3 |         27 |        103 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\TreeSeed.cs                                        | C#       |         60 |          4 |         19 |         83 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\Water.cs                                           | C#       |        195 |         17 |         39 |        251 |
| d:\MakeGames\GameProject\ori\scripts\Blocks\WoodenChest.cs                                     | C#       |         16 |          0 |          1 |         17 |
| d:\MakeGames\GameProject\ori\scripts\Core\CoreNPC.cs                                           | C#       |         34 |          6 |         10 |         50 |
| d:\MakeGames\GameProject\ori\scripts\Entities\AncientBoxer.cs                                  | C#       |         71 |          9 |         20 |        100 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Behaviours\EnemyJumpToTargetBehaviour.cs         | C#       |         57 |          9 |         17 |         83 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Behaviours\EnemyMovementBehaviour.cs             | C#       |         13 |          0 |          1 |         14 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Behaviours\EnemyWalkToTargetBehaviour.cs         | C#       |         92 |         13 |         23 |        128 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\Arrows\Arrow.cs                          | C#       |         18 |          0 |          4 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\Arrows\FlintArrow.cs                     | C#       |         17 |          0 |          2 |         19 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\ExtremeWeatherGuardSand.cs               | C#       |         17 |          0 |          4 |         21 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\ExtremeWeatherGuardSnowball.cs           | C#       |         15 |          0 |          2 |         17 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\GrasslandGuardSapling.cs                 | C#       |         24 |          0 |          3 |         27 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Bullets\Spark.cs                                 | C#       |         48 |          1 |         21 |         70 |
| d:\MakeGames\GameProject\ori\scripts\Entities\HostileFarmer.cs                                 | C#       |         99 |          2 |         43 |        144 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\IdleCreature.cs                    | C#       |         55 |          2 |         15 |         72 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\Livestock\Livestock.cs             | C#       |         22 |          1 |          5 |         28 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\Livestock\Pig.cs                   | C#       |         13 |          0 |          4 |         17 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\Livestock\Poultry\Chicken.cs       | C#       |         25 |          1 |          6 |         32 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\Livestock\Poultry\Duck.cs          | C#       |         18 |          0 |          4 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\IdleCreatures\Livestock\Poultry\Poultry.cs       | C#       |         25 |          0 |          5 |         30 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Nick.cs                                          | C#       |        156 |          0 |         26 |        182 |
| d:\MakeGames\GameProject\ori\scripts\Entities\RegionGuard\BiomeGuardParticle.cs                | C#       |         14 |          0 |          1 |         15 |
| d:\MakeGames\GameProject\ori\scripts\Entities\RegionGuard\ExtremeWeatherGuard.cs               | C#       |         33 |          0 |          7 |         40 |
| d:\MakeGames\GameProject\ori\scripts\Entities\RegionGuard\GrasslandGuard.cs                    | C#       |        151 |          5 |         72 |        228 |
| d:\MakeGames\GameProject\ori\scripts\Entities\RegionGuard\RegionGuard.cs                       | C#       |         41 |          1 |         11 |         53 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Savage.cs                                        | C#       |         39 |          2 |         15 |         56 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\BambooGroveSlime.cs                       | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\DesertSlime.cs                            | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\GrasslandSlime.cs                         | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\OakForestSlime.cs                         | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\RainForestSlime.cs                        | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\SavannahGrasslandSlime.cs                 | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\Slime.cs                                  | C#       |         29 |          1 |         13 |         43 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Slimes\SnowfieldSlime.cs                         | C#       |         19 |          0 |          3 |         22 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Spores\GrasslandSpore.cs                         | C#       |         26 |          1 |          3 |         30 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Caterpillar.cs                       | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Cicada.cs                            | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Cricket.cs                           | C#       |         12 |          0 |          1 |         13 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Earthworm.cs                         | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Fly.cs                               | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Katydid.cs                           | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Longicorn.cs                         | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Maggot.cs                            | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Mantis.cs                            | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Pillworm.cs                          | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\Snail.cs                             | C#       |          9 |          0 |          1 |         10 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TinyAnimals\TinyAnimal.cs                        | C#       |         43 |          1 |         10 |         54 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TreeMen\OakTreeMan.cs                            | C#       |         23 |          0 |          3 |         26 |
| d:\MakeGames\GameProject\ori\scripts\Entities\TreeMen\TreeMan.cs                               | C#       |         45 |          1 |         17 |         63 |
| d:\MakeGames\GameProject\ori\scripts\Entities\Zombie.cs                                        | C#       |         42 |          1 |         14 |         57 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\BottleBehaviour.cs                         | C#       |         35 |          0 |         13 |         48 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\BowBehaviour.cs                            | C#       |         10 |          0 |          3 |         13 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\DogTailGrassBehaviour.cs                   | C#       |         32 |          0 |         12 |         44 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\DogTailGrassPowderBehaviour.cs             | C#       |         33 |          0 |         11 |         44 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\FeatherWingBehaviour.cs                    | C#       |         10 |          0 |          2 |         12 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\FlintHoeBehaviour.cs                       | C#       |         11 |          0 |          3 |         14 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\FlintKnifeBehaviour.cs                     | C#       |         11 |          0 |          3 |         14 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\HoeBehaviour.cs                            | C#       |         41 |          1 |         13 |         55 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\KnifeBehaviour.cs                          | C#       |         54 |          5 |         17 |         76 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\ManaStoneItemBehaviour.cs                  | C#       |         60 |         11 |         14 |         85 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\ShelledDogTailGrassBehaviour.cs            | C#       |         32 |          0 |         11 |         43 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\SpellManuscriptItemBehaviour.cs            | C#       |         22 |          1 |          5 |         28 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\StorageItemBehaviour.cs                    | C#       |         68 |          2 |         32 |        102 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\WashedShelledDogTailGrassBehaviour.cs      | C#       |         53 |          1 |         15 |         69 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\WoodenBowBehaviour.cs                      | C#       |         34 |          1 |          9 |         44 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\WoodenBowlBehaviour.cs                     | C#       |         43 |          0 |         13 |         56 |
| d:\MakeGames\GameProject\ori\scripts\ItemBehaviours\WoodenBowlWithWaterBehaviour.cs            | C#       |         12 |          5 |          5 |         22 |
| d:\MakeGames\GameProject\ori\scripts\ModByteConverters.cs                                      | C#       |          7 |          0 |          2 |          9 |
| d:\MakeGames\GameProject\ori\scripts\OriginModEntry.cs                                         | C#       |         79 |          8 |         23 |        110 |
| d:\MakeGames\GameProject\ori\scripts\SpellBehaviours\LaserSpellBehaviour.cs                    | C#       |        111 |         17 |         36 |        164 |
| d:\MakeGames\GameProject\ori\scripts\SpellBehaviours\SparkSpellBehaviour.cs                    | C#       |         22 |          1 |          4 |         27 |
